course,EX,A,B,C,D,P,F,session,EX%,A%,B%,C%,D%,P%,F%,average
CH21208-INSTRUMENTATION AND PROCESS CONTROL ,3,8,29,50,21,13,0,Spring 22,2.4193548387096775,6.451612903225806,23.387096774193548,40.32258064516129,16.93548387096774,10.483870967741936,0.0,7.056451612903226
CH29202-FLUID FLOW LABORATORY AND DESIGN ,2,63,52,6,0,0,0,Spring 22,1.6260162601626018,51.21951219512195,42.27642276422765,4.878048780487805,0.0,0.0,0.0,8.495934959349594
CH30014-CHEMICAL PROCESS TECHNOLOGY ,4,14,27,23,34,16,4,Autumn 22,3.278688524590164,11.475409836065573,22.131147540983605,18.852459016393443,27.86885245901639,13.114754098360656,3.278688524590164,6.909836065573771
CH31010-MASS TRANSFER II ,11,19,32,21,28,11,1,Autumn 22,8.94308943089431,15.447154471544716,26.01626016260163,17.073170731707318,22.76422764227642,8.94308943089431,0.8130081300813009,7.40650406504065
CH31203-COMPUTER AIDED PROCESS ENGINEERING ,6,19,13,31,39,13,1,Autumn 22,4.918032786885246,15.573770491803279,10.655737704918032,25.40983606557377,31.967213114754102,10.655737704918032,0.819672131147541,7.008196721311475
CH39015-MECHANICAL OPERATIONS & HEAT TRANSFER LABORATORY ,12,51,30,21,7,0,1,Autumn 22,9.836065573770492,41.80327868852459,24.59016393442623,17.21311475409836,5.737704918032787,0.0,0.819672131147541,8.295081967213115
CH39020-INSTRUMENTATION AND PROCESS CONTROL LABORATORY ,19,42,41,18,2,0,1,Autumn 22,15.447154471544716,34.146341463414636,33.33333333333333,14.634146341463413,1.6260162601626018,0.0,0.8130081300813009,8.439024390243903
CH39023-PROCESS EQUIPMENT DESIGN-I ,17,60,42,3,0,1,0,Autumn 22,13.821138211382115,48.78048780487805,34.146341463414636,2.4390243902439024,0.0,0.8130081300813009,0.0,8.715447154471544
MA20203-THEORY OF PARTIAL DIFFERENTIAL EQUATIONS ,70,55,83,85,90,113,26,Autumn 22,13.409961685823754,10.53639846743295,15.900383141762454,16.28352490421456,17.24137931034483,21.64750957854406,4.980842911877394,7.017241379310345
EC60007- ,0,1,0,0,0,0,0,Autumn 23,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
ES61207- ,1,0,0,0,0,1,0,Autumn 22,50.0,0.0,0.0,0.0,0.0,50.0,0.0,7.5
PH31009-ELECTRONICS FOR PHYSICISTS ,0,0,1,0,0,0,0,Autumn 22,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0
CS21201-DISCRETE STRUCTURES ,14,35,35,39,25,9,1,Autumn 21,8.860759493670885,22.151898734177212,22.151898734177212,24.68354430379747,15.822784810126583,5.69620253164557,0.6329113924050633,7.639240506329114
CS21203-ALGORITHMS - I ,9,21,40,31,43,9,2,Autumn 21,5.806451612903226,13.548387096774196,25.806451612903224,20.0,27.741935483870968,5.806451612903226,1.2903225806451613,7.2709677419354835
CS29203-ALGORITHMS LABORATORY ,8,27,30,22,32,34,2,Autumn 21,5.161290322580645,17.419354838709676,19.35483870967742,14.193548387096774,20.64516129032258,21.935483870967744,1.2903225806451613,7.012903225806451
EE21201-SIGNALS AND SYSTEMS ,41,158,77,27,17,8,0,Autumn 21,12.5,48.170731707317074,23.47560975609756,8.231707317073171,5.182926829268292,2.4390243902439024,0.0,8.472560975609756
CS20202-SOFTWARE ENGINEERING ,37,51,46,10,7,2,1,Spring 22,24.025974025974026,33.116883116883116,29.87012987012987,6.493506493506493,4.545454545454546,1.2987012987012987,0.6493506493506493,8.590909090909092
CS21204-FORMAL LANGUAGE AND AUTOMATA THEORY ,9,31,26,39,24,23,1,Spring 22,5.88235294117647,20.26143790849673,16.99346405228758,25.49019607843137,15.686274509803921,15.032679738562091,0.6535947712418301,7.2745098039215685
CS29202-SOFTWARE ENGINEERING LABORATORY ,40,54,35,15,7,2,1,Spring 22,25.97402597402597,35.064935064935064,22.727272727272727,9.740259740259742,4.545454545454546,1.2987012987012987,0.6493506493506493,8.616883116883116
CS29206-SYSTEMS PROGRAMMING LABORATORY ,12,49,44,18,21,9,2,Spring 22,7.741935483870968,31.61290322580645,28.387096774193548,11.612903225806452,13.548387096774196,5.806451612903226,1.2903225806451613,7.858064516129033
RD30011-RURAL INFRASTRUCTURE DEVELOPMENT AND MANAGEMENT ,6,11,7,3,1,0,0,Spring 22,21.428571428571427,39.285714285714285,25.0,10.714285714285714,3.571428571428571,0.0,0.0,8.642857142857142
CS31003-COMPILERS ,8,24,53,29,30,8,0,Autumn 22,5.263157894736842,15.789473684210526,34.868421052631575,19.078947368421055,19.736842105263158,5.263157894736842,0.0,7.519736842105263
CS31005-ALGORITHMS -II ,12,21,40,23,38,13,5,Autumn 22,7.894736842105263,13.815789473684212,26.31578947368421,15.131578947368421,25.0,8.552631578947368,3.289473684210526,7.256578947368421
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE ,13,30,38,42,19,10,0,Autumn 22,8.552631578947368,19.736842105263158,25.0,27.631578947368425,12.5,6.578947368421052,0.0,7.644736842105263
CS39001-COMPUTER ORGANIZATION LABORATORY ,82,48,18,4,0,0,0,Autumn 22,53.94736842105263,31.57894736842105,11.842105263157894,2.631578947368421,0.0,0.0,0.0,9.368421052631579
CS39003-COMPILERS LABORATORY ,53,65,29,5,0,0,0,Autumn 22,34.868421052631575,42.76315789473684,19.078947368421055,3.289473684210526,0.0,0.0,0.0,9.092105263157896
MA20008-STATISTICAL INFERENCE ,17,23,0,0,0,0,0,Spring 22,42.5,57.49999999999999,0.0,0.0,0.0,0.0,0.0,9.425
IE20202-DATA COMMUNICATION ,11,37,53,22,11,0,1,Spring 22,8.148148148148149,27.40740740740741,39.25925925925926,16.296296296296298,8.148148148148149,0.0,0.7407407407407408,8.08148148148148
HS30036-INTERCULTURAL COMMUNICATION ,1,9,2,0,0,0,0,Autumn 22,8.333333333333332,75.0,16.666666666666664,0.0,0.0,0.0,0.0,8.916666666666666
MA41024-INFORMATION AND CODING THEORY ,2,0,0,0,3,1,0,Spring 22,33.33333333333333,0.0,0.0,0.0,50.0,16.666666666666664,0.0,7.166666666666667
MA51108-ADVANCED COMPLEX ANALYSIS ,0,1,0,0,0,0,0,Spring 22,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
HS30037-PETROLEUM ECONOMICS AND MANAGEMENT ,0,1,0,0,0,0,0,Autumn 22,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
MA41108-STATISTICAL INFERENCE ,2,2,0,0,0,0,1,Spring 22,40.0,40.0,0.0,0.0,0.0,0.0,20.0,8.4
EE21204-CONTROL SYSTEM ENGINEERING ,11,31,58,48,16,3,2,Spring 22,6.508875739644971,18.34319526627219,34.319526627218934,28.402366863905325,9.467455621301776,1.7751479289940828,1.183431952662722,7.739644970414201
CY21201-PHYSICAL CHEMISTRY I ,4,16,6,1,1,0,0,Autumn 21,14.285714285714285,57.14285714285714,21.428571428571427,3.571428571428571,3.571428571428571,0.0,0.0,8.75
CY21203-MOLECULAR STRUCTURE AND BONDING ,5,7,10,5,0,1,0,Autumn 21,17.857142857142858,25.0,35.714285714285715,17.857142857142858,0.0,3.571428571428571,0.0,8.321428571428571
CY21205-FUNDAMENTALS OF ORGANIC REACTIONS ,5,8,11,3,0,1,0,Autumn 21,17.857142857142858,28.57142857142857,39.285714285714285,10.714285714285714,0.0,3.571428571428571,0.0,8.428571428571429
CY29201-PHYSICAL CHEMISTRY LABORATORY I ,12,13,3,0,0,0,0,Autumn 21,42.857142857142854,46.42857142857143,10.714285714285714,0.0,0.0,0.0,0.0,9.321428571428571
CY20202-PHYSICAL CHEMISTRY II ,1,4,12,7,3,0,1,Spring 22,3.571428571428571,14.285714285714285,42.857142857142854,25.0,10.714285714285714,0.0,3.571428571428571,7.607142857142857
CY20204-CHEMISTRY OF 3D ELEMENTS ,4,7,11,4,2,0,0,Spring 22,14.285714285714285,25.0,39.285714285714285,14.285714285714285,7.142857142857142,0.0,0.0,8.25
CY20206-REAGENTS AND REACTIVITY ,3,9,4,7,4,1,0,Spring 22,10.714285714285714,32.142857142857146,14.285714285714285,25.0,14.285714285714285,3.571428571428571,0.0,7.892857142857143
CY29202-ORGANIC CHEMISTRY LABORATORY I ,2,9,7,3,7,0,0,Spring 22,7.142857142857142,32.142857142857146,25.0,10.714285714285714,25.0,0.0,0.0,7.857142857142857
CY29204-INORGANIC QUALITATIVE ANALYSIS LABORATORY ,4,21,2,1,0,0,0,Spring 22,14.285714285714285,75.0,7.142857142857142,3.571428571428571,0.0,0.0,0.0,9.0
"CY30201-CHEMISTRY OF MAIN GROUP ELEMENTS: RING, CHAINS, CLUSTERS ",4,9,9,2,3,0,0,Autumn 22,14.814814814814813,33.33333333333333,33.33333333333333,7.4074074074074066,11.11111111111111,0.0,0.0,8.333333333333334
CY39001-PHYSICAL CHEMISTRY LABORATORY II ,6,20,2,0,0,0,0,Autumn 22,21.428571428571427,71.42857142857143,7.142857142857142,0.0,0.0,0.0,0.0,9.142857142857142
CY39003-ORGANIC CHEMISTRY LABORATORY II ,8,12,5,3,0,0,0,Autumn 22,28.57142857142857,42.857142857142854,17.857142857142858,10.714285714285714,0.0,0.0,0.0,8.892857142857142
CY41009-INTRODUCTION TO QUANTUM CHEMISTRY & SPECTROSCOPY ,1,5,3,6,4,7,2,Autumn 22,3.571428571428571,17.857142857142858,10.714285714285714,21.428571428571427,14.285714285714285,25.0,7.142857142857142,6.714285714285714
CY41201-SPECTROSCOPIC METHODS OF STRUCTURE DETERMINATION ,2,4,5,7,4,5,1,Autumn 22,7.142857142857142,14.285714285714285,17.857142857142858,25.0,14.285714285714285,17.857142857142858,3.571428571428571,7.071428571428571
"CY41215-INORGANIC CHEMISTRY: PRINCIPLE, STRUCTURE AND REACTIVITY ",5,4,7,5,4,3,0,Autumn 22,17.857142857142858,14.285714285714285,25.0,17.857142857142858,14.285714285714285,10.714285714285714,0.0,7.714285714285714
CY40014-INTRODUCTION TO COMPUTATIONAL CHEMISTRY ,0,1,0,1,0,0,0,Autumn 20,0.0,50.0,0.0,50.0,0.0,0.0,0.0,8.0
"CY41005-INORGANIC CHEMISTRY: PRINCIPLE,STRUCTURE & REACTIVITY ",0,0,1,0,1,0,0,Autumn 20,0.0,0.0,50.0,0.0,50.0,0.0,0.0,7.0
CY41007-GROUP THEORY FOR CHEMISTS ,0,0,0,2,0,0,0,Autumn 20,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0
CY41011-PRINCIPLES OF ORGANIC SYNTHESIS ,0,0,0,0,2,0,0,Autumn 20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.0
CY49001-ADVANCED INORGANIC CHEMISTRY LABORATORY ,0,2,0,0,0,0,0,Autumn 20,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
CY49011-ADVANCED ORGANIC CHEMISTRY LABORATORY ,0,0,1,0,0,0,1,Autumn 20,0.0,0.0,50.0,0.0,0.0,0.0,50.0,6.0
CY41014-PRINCIPLES OF ORGANOMETALLICS & BIOINORGNIC CHEMISTRY ,0,0,0,0,0,1,0,Spring 21,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
CY41018-STRUCTURES & FUNCTION OF BIOMOLECULES ,0,0,0,1,0,0,0,Spring 21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0
CY49006-BIOCHEMICAL TECHNIQUES LABORATORY ,0,0,1,0,0,0,0,Spring 21,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0
CY49008-ADVANCED PHYSICAL CHEMISTRY LAB. ,0,0,0,0,1,0,0,Spring 21,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.0
CY50033-SOLID STATE CHEMISTRY ,0,0,0,0,1,0,0,Spring 21,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.0
CY58010-VIVA VOCE ,0,0,0,1,0,0,0,Spring 21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0
CY51003-SPECTROSCOPIC METHODS OF STRUCTURE DETERMINATION ,0,0,1,0,0,0,0,Autumn 21,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0
CY57005-PROJECT ,0,1,0,0,0,0,0,Autumn 21,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
CY58003-SEMINAR ,0,1,0,0,0,0,0,Autumn 21,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
CY61044- ,0,0,0,0,0,1,0,Autumn 21,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
CY61050- ,0,1,0,0,0,0,0,Autumn 21,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0
CY71002- ,0,0,0,1,0,0,0,Autumn 21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0
CY60004- ,0,0,0,0,0,1,0,Spring 22,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
CY60101- ,0,0,0,0,0,1,0,Spring 22,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0
EC21203-NETWORK THEORY ,30,69,42,17,6,1,0,Autumn 21,18.181818181818183,41.81818181818181,25.454545454545453,10.303030303030303,3.6363636363636362,0.6060606060606061,0.0,8.587878787878788
EC21205-SEMICONDUCTOR DEVICES ,17,74,61,9,5,4,0,Autumn 21,10.0,43.529411764705884,35.88235294117647,5.294117647058823,2.941176470588235,2.3529411764705883,0.0,8.452941176470588
EC21207-ANALOG ELECTRONIC CIRCUITS ,53,114,83,53,14,16,2,Autumn 21,15.82089552238806,34.02985074626866,24.776119402985074,15.82089552238806,4.179104477611941,4.776119402985075,0.5970149253731344,8.24776119402985
EC29203-NETWORK THEORY LABORATORY ,18,48,72,14,6,5,1,Autumn 21,10.975609756097562,29.268292682926827,43.90243902439025,8.536585365853659,3.6585365853658534,3.048780487804878,0.6097560975609756,8.237804878048781
EC29205-DEVICES LABORATORY ,33,82,37,8,1,2,1,Autumn 21,20.121951219512198,50.0,22.5609756097561,4.878048780487805,0.6097560975609756,1.2195121951219512,0.6097560975609756,8.78048780487805
EC29207-ANALOG  CIRCUITS LABORATORY ,128,139,43,16,0,7,2,Autumn 21,38.2089552238806,41.492537313432834,12.835820895522387,4.776119402985075,0.0,2.0895522388059704,0.5970149253731344,9.044776119402986
EC21202-DIGITAL ELECTRONIC CIRCUITS ,17,57,100,90,52,15,2,Spring 22,5.105105105105105,17.117117117117118,30.03003003003003,27.027027027027028,15.615615615615615,4.504504504504505,0.6006006006006006,7.531531531531532
EC21204-LINEAR ALGEBRA AND OPTIMIZATION MODELS ,0,7,49,68,35,5,0,Spring 22,0.0,4.2682926829268295,29.878048780487802,41.46341463414634,21.341463414634145,3.048780487804878,0.0,7.109756097560975
EC21208-SIGNALS AND SYSTEMS ,7,29,23,45,41,18,1,Spring 22,4.2682926829268295,17.682926829268293,14.02439024390244,27.439024390243905,25.0,10.975609756097562,0.6097560975609756,7.134146341463414
EC29202-DIGITAL CIRCUITS LABORATORY ,97,114,66,43,8,2,3,Spring 22,29.129129129129126,34.234234234234236,19.81981981981982,12.912912912912914,2.4024024024024024,0.6006006006006006,0.9009009009009009,8.693693693693694
EC31005-RF & MICROWAVE ENGINEERING ,15,27,33,32,40,15,0,Autumn 22,9.25925925925926,16.666666666666664,20.37037037037037,19.753086419753085,24.691358024691358,9.25925925925926,0.0,7.382716049382716
EC31201-DIGITAL SIGNAL PROCESSING- I ,34,43,35,22,17,7,4,Autumn 22,20.98765432098765,26.543209876543212,21.604938271604937,13.580246913580247,10.493827160493826,4.320987654320987,2.4691358024691357,8.11111111111111
EC31203-COMMUNICATION-I ,17,28,56,37,18,6,0,Autumn 22,10.493827160493826,17.28395061728395,34.5679012345679,22.839506172839506,11.11111111111111,3.7037037037037033,0.0,7.820987654320987
EC31205-ALGORITHMS ,19,21,30,47,36,9,0,Autumn 22,11.728395061728394,12.962962962962962,18.51851851851852,29.01234567901235,22.22222222222222,5.555555555555555,0.0,7.462962962962963
EC39001-ANALOG COMMUNICATIONS LAB. ,25,62,58,16,1,0,0,Autumn 22,15.432098765432098,38.2716049382716,35.80246913580247,9.876543209876543,0.6172839506172839,0.0,0.0,8.580246913580247
EC39005-MICROWAVE LABORATORY ,9,66,66,16,3,1,0,Autumn 22,5.590062111801243,40.993788819875775,40.993788819875775,9.937888198757763,1.8633540372670807,0.6211180124223602,0.0,8.366459627329192
EC39201-DSP LABORATORY ,48,63,32,18,0,0,0,Autumn 22,29.81366459627329,39.130434782608695,19.875776397515526,11.180124223602485,0.0,0.0,0.0,8.875776397515528
TE30002-INTRODUCTION TO WIRELESS COMMUNICATIONS ,1,2,0,0,0,0,0,Spring 22,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,9.333333333333334
PH40027-CLASSICAL MECHANICS ,22,22,5,4,1,0,2,Autumn 21,39.285714285714285,39.285714285714285,8.928571428571429,7.142857142857142,1.7857142857142856,0.0,3.571428571428571,8.928571428571429
EE21203-NETWORK ANALYSIS ,2,11,62,77,9,11,0,Autumn 21,1.1627906976744187,6.395348837209303,36.04651162790697,44.76744186046512,5.232558139534884,6.395348837209303,0.0,7.343023255813954
EE29201-SIGNALS AND NETWORKS LABORATORY ,21,45,66,34,4,3,0,Autumn 21,12.138728323699421,26.011560693641616,38.15028901734104,19.653179190751445,2.312138728323699,1.7341040462427744,0.0,8.208092485549132
EE21202-MEASUREMENT AND ELECTRONIC INSTRUMENTS ,2,14,27,83,36,9,0,Spring 22,1.1695906432748537,8.187134502923977,15.789473684210526,48.53801169590643,21.052631578947366,5.263157894736842,0.0,7.04093567251462
EE21206-ELECTRICAL MACHINES ,0,4,10,74,28,7,2,Spring 22,0.0,3.2,8.0,59.199999999999996,22.400000000000002,5.6000000000000005,1.6,6.76
EE29202-MEASUREMENT AND ELECTRONIC INSTRUMENTS LABORATORY ,22,62,59,22,4,0,1,Spring 22,12.941176470588237,36.470588235294116,34.705882352941174,12.941176470588237,2.3529411764705883,0.0,0.5882352941176471,8.423529411764706
