course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
CL60020-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring19,6
CL60020-,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
CL60023-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
CL60028-,0,1,2,1,0,0,0,0,25,50,25,0,0,0,Spring21,8
CL60028-,1,0,1,3,0,0,0,20,0,20,60,0,0,0,Spring20,7.8
CL60028-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring19,8.5
CL60028-,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
CL60030-,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
CL60030-,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Spring20,9.5
CL60033-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn20,6
CL60033-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
CL61009-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring19,6
CL61009-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn18,9
CL61012-,0,0,2,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
CL61012-,1,0,1,0,0,0,0,50,0,50,0,0,0,0,Spring20,9
CL61018-,2,3,1,0,1,0,0,28.57,42.86,14.29,0,14.29,0,0,Spring20,8.71
CL61024-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn19,5
CL61024-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring20,8.5
CL61024-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring19,6
CR30008-CRYOGENIC ASPECTS OF HYDROGEN ENERGY,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
CR60006-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
CR61005-,0,0,0,0,1,2,0,0,0,0,0,33.33,66.67,0,Autumn19,5.33
CR61014-,0,0,1,0,1,0,0,0,0,50,0,50,0,0,Spring20,7
CR61021-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn19,7
CR61021-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn18,9
CR61024-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn18,7
CR61024-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring20,8.5
CR61026-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
CR61036-,0,2,1,2,1,0,0,0,33.33,16.67,33.33,16.67,0,0,Spring21,7.67
CS10001-PROGRAMMING AND DATA STRUCTURES,88,115,98,136,99,67,2,14.55,19.01,16.2,22.48,16.36,11.07,0.33,Spring18,7.58
CS10001-PROGRAMMING AND DATA STRUCTURES,103,110,148,83,107,60,2,16.8,17.94,24.14,13.54,17.46,9.79,0.33,Autumn17,7.72
CS10001-PROGRAMMING AND DATA STRUCTURES,86,113,154,158,98,62,2,12.78,16.79,22.88,23.48,14.56,9.21,0.3,Spring19,7.61
CS10001-PROGRAMMING AND DATA STRUCTURES,95,109,111,99,145,113,1,14.12,16.2,16.49,14.71,21.55,16.79,0.15,Autumn18,7.36
CS10001-PROGRAMMING AND DATA STRUCTURES,114,144,154,123,177,50,0,14.96,18.9,20.21,16.14,23.23,6.56,0,Spring20,7.67
CS10001-PROGRAMMING AND DATA STRUCTURES,100,141,186,124,101,92,6,13.33,18.8,24.8,16.53,13.47,12.27,0.8,Autumn19,7.62
CS10003-PROGAMMING AND DATA STRUCTURES,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring20,6
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,121,166,155,95,53,13,2,20,27.44,25.62,15.7,8.76,2.15,0.33,Spring18,8.26
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,102,146,161,111,66,25,2,16.64,23.82,26.26,18.11,10.77,4.08,0.33,Autumn17,8.04
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,122,167,164,114,75,31,0,18.13,24.81,24.37,16.94,11.14,4.61,0,Spring19,8.08
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,123,142,180,122,74,30,1,18.3,21.13,26.79,18.15,11.01,4.46,0.15,Autumn18,8.04
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,168,183,182,136,69,24,0,22.05,24.02,23.88,17.85,9.06,3.15,0,Spring20,8.23
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,150,151,184,135,88,35,6,20.03,20.16,24.57,18.02,11.75,4.67,0.8,Autumn19,8.01
CS20006-SOFTWARE ENGINEERING,8,34,29,19,12,1,0,7.77,33.01,28.16,18.45,11.65,0.97,0,Spring19,8.04
CS20006-SOFTWARE ENGINEERING,4,44,45,21,3,3,0,3.33,36.67,37.5,17.5,2.5,2.5,0,Spring20,8.13
CS20006-SOFTWARE ENGINEERING,55,37,19,5,4,5,2,43.31,29.13,14.96,3.94,3.15,3.94,1.57,Spring21,8.87
CS21001-DISCRETE STRUCTURES,24,38,19,15,4,3,1,23.08,36.54,18.27,14.42,3.85,2.88,0.96,Autumn18,8.48
CS21001-DISCRETE STRUCTURES,15,22,28,29,23,6,0,12.2,17.89,22.76,23.58,18.7,4.88,0,Autumn19,7.67
CS21001-DISCRETE STRUCTURES,13,35,46,26,6,5,2,9.77,26.32,34.59,19.55,4.51,3.76,1.5,Autumn20,8
CS21002-SWITCHING CIRCUITS AND LOGIC DESIGN,29,36,40,12,3,6,0,23.02,28.57,31.75,9.52,2.38,4.76,0,Spring20,8.46
CS21002-SWITCHING CIRCUITS AND LOGIC DESIGN,40,81,24,9,1,1,0,25.64,51.92,15.38,5.77,0.64,0.64,0,Spring21,8.94
CS21002-SWITCHING CIRCUITS AND LOGIC DESIGN,16,32,19,20,9,7,0,15.53,31.07,18.45,19.42,8.74,6.8,0,Spring19,8.05
CS21003-ALGORITHMS - I,16,24,28,24,17,4,0,14.16,21.24,24.78,21.24,15.04,3.54,0,Spring19,7.88
CS21003-ALGORITHMS - I,16,30,42,31,22,1,0,11.27,21.13,29.58,21.83,15.49,0.7,0,Spring20,7.89
CS21003-ALGORITHMS - I,6,21,25,25,13,13,0,5.83,20.39,24.27,24.27,12.62,12.62,0,Autumn18,7.45
CS21003-ALGORITHMS - I,27,35,59,19,4,0,0,18.75,24.31,40.97,13.19,2.78,0,0,Spring21,8.43
CS21003-ALGORITHMS - I,1,23,31,33,14,18,0,0.83,19.17,25.83,27.5,11.67,15,0,Autumn19,7.25
CS21003-ALGORITHMS - I,7,19,35,29,24,10,4,5.47,14.84,27.34,22.66,18.75,7.81,3.13,Autumn20,7.3
CS21004-FORMAL LANGUAGE AND AUTOMATA THEORY,11,23,39,22,5,2,0,10.78,22.55,38.24,21.57,4.9,1.96,0,Spring19,8.07
CS21004-FORMAL LANGUAGE AND AUTOMATA THEORY,20,24,29,19,24,4,0,16.67,20,24.17,15.83,20,3.33,0,Spring20,7.88
CS21004-FORMAL LANGUAGE AND AUTOMATA THEORY,17,39,41,19,7,2,1,13.49,30.95,32.54,15.08,5.56,1.59,0.79,Spring21,8.24
CS29002-SWITCHING CIRCUITS LABORATORY,50,72,22,9,0,0,0,32.68,47.06,14.38,5.88,0,0,0,Spring21,9.07
CS29002-SWITCHING CIRCUITS LABORATORY,53,33,11,5,0,1,0,51.46,32.04,10.68,4.85,0,0.97,0,Spring19,9.27
CS29002-SWITCHING CIRCUITS LABORATORY,32,35,29,23,3,0,0,26.23,28.69,23.77,18.85,2.46,0,0,Spring20,8.57
CS29003-ALGORITHMS LABORATORY,20,18,21,21,10,0,0,22.22,20,23.33,23.33,11.11,0,0,Spring19,8.19
CS29003-ALGORITHMS LABORATORY,33,52,43,30,10,0,0,19.64,30.95,25.6,17.86,5.95,0,0,Spring21,8.4
CS29003-ALGORITHMS LABORATORY,28,32,37,18,6,0,0,23.14,26.45,30.58,14.88,4.96,0,0,Spring20,8.48
CS29003-ALGORITHMS LABORATORY,9,29,21,15,10,19,0,8.74,28.16,20.39,14.56,9.71,18.45,0,Autumn18,7.56
CS29003-ALGORITHMS LABORATORY,6,12,22,20,43,17,0,5,10,18.33,16.67,35.83,14.17,0,Autumn19,6.89
CS29003-ALGORITHMS LABORATORY,11,24,29,23,29,9,3,8.59,18.75,22.66,17.97,22.66,7.03,2.34,Autumn20,7.42
CS29006-SOFTWARE ENGINEERING LABORATORY,20,49,23,8,3,0,0,19.42,47.57,22.33,7.77,2.91,0,0,Spring19,8.73
CS29006-SOFTWARE ENGINEERING LABORATORY,28,60,23,5,1,3,0,23.33,50,19.17,4.17,0.83,2.5,0,Spring20,8.83
CS29006-SOFTWARE ENGINEERING LABORATORY,40,37,23,14,9,2,2,31.5,29.13,18.11,11.02,7.09,1.57,1.57,Spring21,8.56
CS30002-OPERATING SYSTEMS,10,31,26,15,13,7,0,9.8,30.39,25.49,14.71,12.75,6.86,0,Spring20,7.89
CS30002-OPERATING SYSTEMS,21,32,35,17,10,1,0,18.1,27.59,30.17,14.66,8.62,0.86,0,Spring21,8.29
CS31003-COMPILERS,18,26,22,20,7,9,0,17.65,25.49,21.57,19.61,6.86,8.82,0,Autumn19,8.01
CS31003-COMPILERS,30,54,23,9,2,1,0,25.21,45.38,19.33,7.56,1.68,0.84,0,Autumn20,8.82
CS31005-ALGORITHMS -II,12,18,29,31,10,2,0,11.76,17.65,28.43,30.39,9.8,1.96,0,Autumn19,7.85
CS31005-ALGORITHMS -II,8,23,42,26,12,6,2,6.72,19.33,35.29,21.85,10.08,5.04,1.68,Autumn20,7.69
CS31006-COMPUTER NETWORKS,0,0,0,2,1,1,0,0,0,0,50,25,25,0,Spring19,6.25
CS31006-COMPUTER NETWORKS,39,57,31,11,7,2,0,26.53,38.78,21.09,7.48,4.76,1.36,0,Spring21,8.71
CS31006-COMPUTER NETWORKS,20,42,31,22,4,3,0,16.39,34.43,25.41,18.03,3.28,2.46,0,Spring20,8.35
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE,19,38,16,24,4,1,0,18.63,37.25,15.69,23.53,3.92,0.98,0,Autumn19,8.4
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE,24,56,19,12,3,0,0,21.05,49.12,16.67,10.53,2.63,0,0,Autumn20,8.75
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,45,89,50,14,3,1,0,22.28,44.06,24.75,6.93,1.49,0.5,0,Spring21,8.77
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring19,7.5
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,17,25,38,19,15,2,0,14.66,21.55,32.76,16.38,12.93,1.72,0,Spring20,8.03
CS39001-COMPUTER ORGANIZATION LABORATORY,32,46,13,9,2,0,0,31.37,45.1,12.75,8.82,1.96,0,0,Autumn19,8.95
CS39001-COMPUTER ORGANIZATION LABORATORY,60,35,10,9,1,0,0,52.17,30.43,8.7,7.83,0.87,0,0,Autumn20,9.25
CS39002-OPERATING SYSTEMS LABORATORY,37,23,23,12,3,4,0,36.27,22.55,22.55,11.76,2.94,3.92,0,Spring20,8.66
CS39002-OPERATING SYSTEMS LABORATORY,77,22,11,4,1,1,0,66.38,18.97,9.48,3.45,0.86,0.86,0,Spring21,9.44
CS39003-COMPILERS LABORATORY,31,40,14,12,4,1,0,30.39,39.22,13.73,11.76,3.92,0.98,0,Autumn19,8.77
CS39003-COMPILERS LABORATORY,47,42,19,6,1,1,1,40.17,35.9,16.24,5.13,0.85,0.85,0.85,Autumn20,9.03
CS39006-NETWORKS LAB.,53,20,16,12,0,2,0,51.46,19.42,15.53,11.65,0,1.94,0,Spring20,9.05
CS39006-NETWORKS LAB.,69,29,12,6,4,0,0,57.5,24.17,10,5,3.33,0,0,Spring21,9.28
CS39008-PROJECT SEMINAR,72,24,3,1,2,0,0,70.59,23.53,2.94,0.98,1.96,0,0,Spring20,9.6
CS39008-PROJECT SEMINAR,87,22,6,2,2,1,0,72.5,18.33,5,1.67,1.67,0.83,0,Spring21,9.56
CS40003-DATA ANALYTICS,3,15,15,12,9,13,0,4.48,22.39,22.39,17.91,13.43,19.4,0,Autumn19,7.28
CS40003-DATA ANALYTICS,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn18,10
CS40019-IMAGE PROCESSING,2,4,5,0,0,0,0,18.18,36.36,45.45,0,0,0,0,Autumn18,8.73
CS40019-IMAGE PROCESSING,23,22,22,13,4,2,0,26.74,25.58,25.58,15.12,4.65,2.33,0,Autumn19,8.48
CS40019-IMAGE PROCESSING,59,81,69,29,10,1,0,23.69,32.53,27.71,11.65,4.02,0.4,0,Autumn20,8.59
CS40032-PRINCIPLES OF PROGRAMMING LANGUAGES,29,65,8,1,0,1,0,27.88,62.5,7.69,0.96,0,0.96,0,Spring21,9.14
CS40032-PRINCIPLES OF PROGRAMMING LANGUAGES,32,18,2,2,0,2,0,57.14,32.14,3.57,3.57,0,3.57,0,Spring20,9.32
CS41001-THEORY OF COMPUTATION,32,58,8,2,1,0,0,31.68,57.43,7.92,1.98,0.99,0,0,Autumn20,9.17
CS43002-DATABASE MANAGEMENT SYSTEMS,6,24,15,15,4,4,0,8.82,35.29,22.06,22.06,5.88,5.88,0,Spring20,8.01
CS43002-DATABASE MANAGEMENT SYSTEMS,24,24,25,16,2,0,0,26.37,26.37,27.47,17.58,2.2,0,0,Spring21,8.57
CS47007-PROJECT-I,31,26,11,5,1,1,3,39.74,33.33,14.1,6.41,1.28,1.28,3.85,Autumn20,8.85
CS48003-SUMMER TRAINING,49,5,2,0,0,0,0,87.5,8.93,3.57,0,0,0,0,Autumn20,9.84
CS60002-,3,19,18,18,0,1,0,5.08,32.2,30.51,30.51,0,1.69,0,Spring21,8.07
CS60003-,15,27,5,1,0,0,0,31.25,56.25,10.42,2.08,0,0,0,Spring21,9.17
CS60004-,1,3,5,1,0,0,0,10,30,50,10,0,0,0,Spring21,8.4
CS60009-,1,4,7,2,0,0,0,7.14,28.57,50,14.29,0,0,0,Autumn20,8.29
CS60009-,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Autumn19,9.5
CS60010-,23,33,20,10,7,0,0,24.73,35.48,21.51,10.75,7.53,0,0,Spring21,8.59
CS60010-,8,11,7,4,1,0,0,25.81,35.48,22.58,12.9,3.23,0,0,Spring20,8.68
CS60010-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring19,5
CS60012-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
CS60016-,0,1,0,2,0,3,1,0,14.29,0,28.57,0,42.86,14.29,Spring20,6
CS60016-,3,6,11,7,6,0,1,8.82,17.65,32.35,20.59,17.65,0,2.94,Spring21,7.68
CS60017-,1,1,5,7,0,0,0,7.14,7.14,35.71,50,0,0,0,Autumn19,7.71
CS60017-,17,24,22,15,4,2,0,20.24,28.57,26.19,17.86,4.76,2.38,0,Autumn20,8.35
CS60021-,16,20,11,5,3,0,0,29.09,36.36,20,9.09,5.45,0,0,Autumn20,8.75
CS60021-,0,0,0,1,0,1,0,0,0,0,50,0,50,0,Autumn19,6
CS60023-,3,0,1,0,0,0,0,75,0,25,0,0,0,0,Spring21,9.5
CS60023-,3,1,1,0,0,0,0,60,20,20,0,0,0,0,Spring20,9.4
CS60025-,1,8,4,3,0,0,0,6.25,50,25,18.75,0,0,0,Autumn20,8.44
CS60025-,1,4,2,4,0,0,0,9.09,36.36,18.18,36.36,0,0,0,Autumn19,8.18
CS60029-,2,3,1,0,0,0,0,33.33,50,16.67,0,0,0,0,Spring20,9.17
CS60030-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn20,6
CS60038-,12,9,4,1,2,0,0,42.86,32.14,14.29,3.57,7.14,0,0,Autumn20,9
CS60045-,1,1,3,1,3,0,0,11.11,11.11,33.33,11.11,33.33,0,0,Autumn19,7.56
CS60045-,25,62,22,3,2,0,0,21.93,54.39,19.3,2.63,1.75,0,0,Autumn20,8.92
CS60047-,13,15,0,0,0,0,0,46.43,53.57,0,0,0,0,0,Autumn20,9.46
CS60047-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn19,8
CS60050-,21,27,38,17,11,7,0,17.36,22.31,31.4,14.05,9.09,5.79,0,Autumn19,8.07
CS60050-,20,28,9,1,0,0,0,34.48,48.28,15.52,1.72,0,0,0,Spring20,9.16
CS60050-,8,11,6,1,1,1,0,28.57,39.29,21.43,3.57,3.57,3.57,0,Spring21,8.75
CS60050-,10,33,26,7,2,2,0,12.5,41.25,32.5,8.75,2.5,2.5,0,Autumn20,8.45
CS60050-,2,1,2,0,0,0,0,40,20,40,0,0,0,0,Spring19,9
CS60050-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn18,9
CS60052-,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
CS60052-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
CS60057-,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
CS60059-,28,14,2,0,1,0,0,62.22,31.11,4.44,0,2.22,0,0,Autumn20,9.51
CS60059-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
CS60064-,22,26,4,2,0,0,0,40.74,48.15,7.41,3.7,0,0,0,Spring21,9.26
CS60064-,4,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
CS60065-,2,7,2,0,0,0,0,18.18,63.64,18.18,0,0,0,0,Autumn20,9
CS60065-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
CS60065-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
CS60073-,10,12,4,0,0,0,0,38.46,46.15,15.38,0,0,0,0,Autumn20,9.23
CS60075-,4,1,0,2,1,0,1,44.44,11.11,0,22.22,11.11,0,11.11,Spring20,8.11
CS60075-,1,1,6,5,5,0,0,5.56,5.56,33.33,27.78,27.78,0,0,Autumn19,7.33
CS60075-,26,35,16,10,6,1,1,27.37,36.84,16.84,10.53,6.32,1.05,1.05,Autumn20,8.61
CS60075-,13,27,24,20,1,1,0,15.12,31.4,27.91,23.26,1.16,1.16,0,Spring21,8.33
CS60077-,10,7,3,0,0,0,0,50,35,15,0,0,0,0,Autumn20,9.35
CS60077-,0,1,0,1,0,1,0,0,33.33,0,33.33,0,33.33,0,Autumn19,7
CS60078-,11,5,2,0,0,0,0,61.11,27.78,11.11,0,0,0,0,Spring21,9.5
CS60078-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
CS60081-,4,4,3,2,0,0,0,30.77,30.77,23.08,15.38,0,0,0,Autumn20,8.77
CS60081-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn19,6
CS60083-,2,3,1,0,1,0,0,28.57,42.86,14.29,0,14.29,0,0,Autumn20,8.71
CS60086-,0,1,2,1,0,0,0,0,25,50,25,0,0,0,Spring21,8
CS60088-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring19,8
CS60092-,0,4,3,0,1,0,0,0,50,37.5,0,12.5,0,0,Autumn19,8.25
CS60092-,37,14,5,2,1,4,0,58.73,22.22,7.94,3.17,1.59,6.35,0,Autumn20,9.14
CS60092-,4,2,6,2,2,0,0,25,12.5,37.5,12.5,12.5,0,0,Spring20,8.25
CS60094-,4,4,8,6,4,1,0,14.81,14.81,29.63,22.22,14.81,3.7,0,Spring21,7.81
CS60094-,1,5,6,4,1,0,0,5.88,29.41,35.29,23.53,5.88,0,0,Spring20,8.06
CS60113-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn20,10
CS60118-,14,15,3,0,3,0,0,40,42.86,8.57,0,8.57,0,0,Spring21,9.06
CS61061-,0,0,2,1,0,0,0,0,0,66.67,33.33,0,0,0,Autumn19,7.67
CS61061-,30,33,2,3,0,1,0,43.48,47.83,2.9,4.35,0,1.45,0,Autumn20,9.26
CS61062-,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Spring19,9.5
CS61063-,5,14,6,1,0,0,1,18.52,51.85,22.22,3.7,0,0,3.7,Autumn20,8.7
CS61064-,0,4,5,2,0,0,0,0,36.36,45.45,18.18,0,0,0,Spring20,8.18
CS61064-,13,28,10,4,0,0,0,23.64,50.91,18.18,7.27,0,0,0,Spring21,8.91
CS61064-,0,0,3,0,0,0,0,0,0,100,0,0,0,0,Spring19,8
CS61066-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
CS66006-,0,2,1,0,0,0,0,0,66.67,33.33,0,0,0,0,Autumn18,8.67
CS66007-,2,1,6,0,0,0,0,22.22,11.11,66.67,0,0,0,0,Autumn19,8.56
CS66008-,1,1,3,1,0,0,0,16.67,16.67,50,16.67,0,0,0,Autumn19,8.33
CS66009-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn19,7
CY11001-CHEMISTRY,58,136,156,98,54,64,2,10.21,23.94,27.46,17.25,9.51,11.27,0.35,Autumn17,7.73
CY11001-CHEMISTRY,66,106,128,115,100,96,2,10.77,17.29,20.88,18.76,16.31,15.66,0.33,Spring18,7.39
CY11001-CHEMISTRY,62,191,155,92,71,70,1,9.66,29.75,24.14,14.33,11.06,10.9,0.16,Autumn18,7.79
CY11001-CHEMISTRY,59,152,160,118,88,94,0,8.79,22.65,23.85,17.59,13.11,14.01,0,Spring19,7.54
CY11001-CHEMISTRY,115,186,189,96,74,62,0,15.93,25.76,26.18,13.3,10.25,8.59,0,Autumn19,7.98
CY11001-CHEMISTRY,125,198,200,101,76,47,1,16.71,26.47,26.74,13.5,10.16,6.28,0.13,Spring20,8.07
CY11003-CHEMISTRY,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
CY19001-CHEMISTRY LAB.,122,346,90,8,2,0,0,21.48,60.92,15.85,1.41,0.35,0,0,Autumn17,9.02
CY19001-CHEMISTRY LAB.,126,334,131,16,4,2,0,20.55,54.49,21.37,2.61,0.65,0.33,0,Spring18,8.91
CY19001-CHEMISTRY LAB.,150,373,104,8,4,3,0,23.36,58.1,16.2,1.25,0.62,0.47,0,Autumn18,9.01
CY19001-CHEMISTRY LAB.,272,327,59,7,3,3,0,40.54,48.73,8.79,1.04,0.45,0.45,0,Spring19,9.27
CY19001-CHEMISTRY LAB.,157,376,155,30,3,1,0,21.75,52.08,21.47,4.16,0.42,0.14,0,Autumn19,8.9
CY19001-CHEMISTRY LAB.,269,372,87,15,2,1,2,35.96,49.73,11.63,2.01,0.27,0.13,0.27,Spring20,9.18
CY19003-CHEMISTRY LABORATORY,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
CY20101-PHYSICAL CHEMISTRY I,2,2,8,5,2,1,0,10,10,40,25,10,5,0,Autumn18,7.7
CY20101-PHYSICAL CHEMISTRY I,4,3,5,5,4,0,0,19.05,14.29,23.81,23.81,19.05,0,0,Autumn19,7.9
CY20101-PHYSICAL CHEMISTRY I,3,7,11,2,1,0,0,12.5,29.17,45.83,8.33,4.17,0,0,Autumn20,8.38
CY20102-PHYSICAL CHEMISTRY II,0,4,7,5,1,3,0,0,20,35,25,5,15,0,Spring19,7.4
CY20102-PHYSICAL CHEMISTRY II,7,7,4,1,2,0,0,33.33,33.33,19.05,4.76,9.52,0,0,Spring20,8.76
CY20102-PHYSICAL CHEMISTRY II,6,8,3,4,2,1,0,25,33.33,12.5,16.67,8.33,4.17,0,Spring21,8.38
CY20103-ORGANIC CHEMISTRY I,2,5,8,3,1,1,0,10,25,40,15,5,5,0,Autumn18,8.05
CY20103-ORGANIC CHEMISTRY I,6,2,6,5,0,2,0,28.57,9.52,28.57,23.81,0,9.52,0,Autumn19,8.14
CY20103-ORGANIC CHEMISTRY I,7,8,6,3,0,0,0,29.17,33.33,25,12.5,0,0,0,Autumn20,8.79
CY20105-INORGANIC CHEMISTRY I,7,6,4,1,1,1,0,35,30,20,5,5,5,0,Autumn18,8.7
CY20105-INORGANIC CHEMISTRY I,7,10,3,1,0,0,0,33.33,47.62,14.29,4.76,0,0,0,Autumn19,9.1
CY20105-INORGANIC CHEMISTRY I,5,14,2,0,3,0,0,20.83,58.33,8.33,0,12.5,0,0,Autumn20,8.75
CY20106-INORGANIC CHEMISTRY II,1,3,2,6,4,4,0,5,15,10,30,20,20,0,Spring19,6.95
CY20106-INORGANIC CHEMISTRY II,3,1,5,6,2,4,0,14.29,4.76,23.81,28.57,9.52,19.05,0,Spring20,7.29
CY20106-INORGANIC CHEMISTRY II,3,8,7,4,1,1,0,12.5,33.33,29.17,16.67,4.17,4.17,0,Spring21,8.21
CY21006-ORGANIC CHEMISTRY II,4,1,7,3,2,3,0,20,5,35,15,10,15,0,Spring19,7.65
CY21006-ORGANIC CHEMISTRY II,3,3,4,3,4,4,0,14.29,14.29,19.05,14.29,19.05,19.05,0,Spring20,7.33
CY21006-ORGANIC CHEMISTRY II,6,7,4,6,1,0,0,25,29.17,16.67,25,4.17,0,0,Spring21,8.46
CY29001-PHYSICAL CHEMISTRY LABORATORY I,0,4,8,6,1,0,0,0,21.05,42.11,31.58,5.26,0,0,Autumn18,7.79
CY29001-PHYSICAL CHEMISTRY LABORATORY I,5,7,3,3,3,0,0,23.81,33.33,14.29,14.29,14.29,0,0,Autumn19,8.38
CY29001-PHYSICAL CHEMISTRY LABORATORY I,8,7,5,2,2,0,0,33.33,29.17,20.83,8.33,8.33,0,0,Autumn20,8.71
CY29002-INORGANIC CHEMISTRY LABORATORY I,7,6,6,0,0,0,0,36.84,31.58,31.58,0,0,0,0,Spring19,9.05
CY29002-INORGANIC CHEMISTRY LABORATORY I,4,8,9,0,0,0,0,19.05,38.1,42.86,0,0,0,0,Spring20,8.76
CY29002-INORGANIC CHEMISTRY LABORATORY I,6,14,3,1,0,0,0,25,58.33,12.5,4.17,0,0,0,Spring21,9.04
CY29004-ORGANIC CHEMISTRY LABORATORY I,0,16,4,0,0,0,0,0,80,20,0,0,0,0,Spring19,8.8
CY29004-ORGANIC CHEMISTRY LABORATORY I,0,21,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
CY29004-ORGANIC CHEMISTRY LABORATORY I,8,16,0,0,0,0,0,33.33,66.67,0,0,0,0,0,Spring21,9.33
CY31003-ORGANIC CHEMISTRY III,3,4,2,5,4,1,0,15.79,21.05,10.53,26.32,21.05,5.26,0,Autumn19,7.68
CY31003-ORGANIC CHEMISTRY III,1,2,11,7,0,0,0,4.76,9.52,52.38,33.33,0,0,0,Autumn20,7.86
CY31007-INORGANIC CHEMISTRY III,0,2,6,7,3,1,0,0,10.53,31.58,36.84,15.79,5.26,0,Autumn19,7.26
CY31007-INORGANIC CHEMISTRY III,9,6,4,1,1,0,0,42.86,28.57,19.05,4.76,4.76,0,0,Autumn20,9
CY31010-STRATEGIES & METHODS IN ORGANIC SYNTHESIS,0,4,7,7,1,0,0,0,21.05,36.84,36.84,5.26,0,0,Spring20,7.74
CY31010-STRATEGIES & METHODS IN ORGANIC SYNTHESIS,3,17,1,0,0,0,0,14.29,80.95,4.76,0,0,0,0,Spring21,9.1
CY38002-VIVA,1,9,4,3,2,0,0,5.26,47.37,21.05,15.79,10.53,0,0,Spring20,8.21
CY38002-VIVA,1,5,9,4,2,0,0,4.76,23.81,42.86,19.05,9.52,0,0,Spring21,7.95
CY39001-PHYSICAL CHEMISTRY LABORATORY II,0,11,5,3,0,0,0,0,57.89,26.32,15.79,0,0,0,Autumn19,8.42
