course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
AE31010-VISCOUS FLOW THEORY,4,10,12,9,4,3,0,9.52,23.81,28.57,21.43,9.52,7.14,0,Spring20,7.81
AE31010-VISCOUS FLOW THEORY,5,10,16,9,4,4,0,10.42,20.83,33.33,18.75,8.33,8.33,0,Spring21,7.81
AE31103-HIGH SPEED AERODYNAMICS,6,6,19,4,1,5,1,14.29,14.29,45.24,9.52,2.38,11.9,2.38,Autumn19,7.83
AE31103-HIGH SPEED AERODYNAMICS,2,5,20,13,2,3,0,4.44,11.11,44.44,28.89,4.44,6.67,0,Autumn20,7.62
AE39001-AERODYNAMICS LAB-II,10,6,15,0,9,0,2,23.81,14.29,35.71,0,21.43,0,4.76,Autumn19,8
AE39001-AERODYNAMICS LAB-II,15,20,7,0,0,0,3,33.33,44.44,15.56,0,0,0,6.67,Autumn20,8.84
AE39002-SYSTEM LABORATORY,17,17,3,2,0,0,2,41.46,41.46,7.32,4.88,0,0,4.88,Spring20,9
AE39002-SYSTEM LABORATORY,7,18,14,2,0,0,4,15.56,40,31.11,4.44,0,0,8.89,Spring21,8.31
AE39003-STRUCTURES LAB -II,6,8,15,9,2,1,1,14.29,19.05,35.71,21.43,4.76,2.38,2.38,Autumn19,8
AE39003-STRUCTURES LAB -II,5,24,9,2,5,1,0,10.87,52.17,19.57,4.35,10.87,2.17,0,Autumn20,8.41
AE39004-PROPULSION LABORATORY,4,14,11,3,3,3,0,10.53,36.84,28.95,7.89,7.89,7.89,0,Spring20,8.11
AE39004-PROPULSION LABORATORY,5,31,4,1,0,1,0,11.9,73.81,9.52,2.38,0,2.38,0,Spring21,8.88
AE40005-SPACE DYNAMICS,3,0,1,1,2,0,1,37.5,0,12.5,12.5,25,0,12.5,Autumn20,7.63
AE40006-COMPOSITE STRUCTURES,1,0,0,0,1,1,0,33.33,0,0,0,33.33,33.33,0,Spring21,7
AE40006-COMPOSITE STRUCTURES,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
AE40007-INTRODUCTION TO HELICOPTER ENGINEERING,1,4,4,4,0,0,2,6.67,26.67,26.67,26.67,0,0,13.33,Autumn20,7.6
AE40008-AEROELASTICITY,10,10,1,2,1,0,0,41.67,41.67,4.17,8.33,4.17,0,0,Spring21,9.08
AE40010-INTRODUCTION TO AVIONICS,2,0,2,0,0,0,0,50,0,50,0,0,0,0,Spring21,9
AE40018-INTRODUCTION TO TURBULENCE,1,1,3,1,0,0,0,16.67,16.67,50,16.67,0,0,0,Autumn19,8.33
AE40018-INTRODUCTION TO TURBULENCE,0,1,1,1,2,1,0,0,16.67,16.67,16.67,33.33,16.67,0,Autumn20,6.83
AE40019-AUTOMATIC CONTROL OF AIRCRAFT,5,1,0,2,0,1,3,41.67,8.33,0,16.67,0,8.33,25,Autumn20,7.5
AE40030-ADVANCED GAS TURBINE THEORY,0,3,1,0,0,0,0,0,75,25,0,0,0,0,Autumn20,8.75
AE40031-COMPUTATIONAL FLUID DYNAMICS,1,4,2,3,6,6,0,4.55,18.18,9.09,13.64,27.27,27.27,0,Autumn20,6.77
AE40033-FINITE ELEMENT METHODS,2,2,1,2,0,1,0,25,25,12.5,25,0,12.5,0,Autumn20,8.13
AE40033-FINITE ELEMENT METHODS,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
AE40034-ADVANCED COMPUTATIONAL FLUID DYNAMICS,0,2,0,1,0,0,0,0,66.67,0,33.33,0,0,0,Spring21,8.33
AE40037-PHYSICS OF FLUID FLOW EXPERIMENTS,4,3,0,0,0,0,0,57.14,42.86,0,0,0,0,0,Autumn20,9.57
AE47007-PROJECT-I,8,8,9,2,0,0,2,27.59,27.59,31.03,6.9,0,0,6.9,Autumn20,8.48
AE48003-SUMMER TRAINING,4,5,2,0,0,0,1,33.33,41.67,16.67,0,0,0,8.33,Autumn20,8.75
AE49003-AIRCRAFT DESIGN & OPTIMISATION,12,15,4,2,3,1,2,30.77,38.46,10.26,5.13,7.69,2.56,5.13,Autumn20,8.51
AE51003-APPLIED ELASTICITY & PLASTICITY,6,8,2,1,0,1,0,33.33,44.44,11.11,5.56,0,5.56,0,Autumn20,8.89
AE51005-UNSTEADY AERODYNAMICS,3,1,1,1,0,0,0,50,16.67,16.67,16.67,0,0,0,Autumn20,9
