subject,EX,A,B,C,D,P,F,subject_session
MS41004,2,8,10,2,1,0,0,Spring18
MS41004,6,13,16,6,1,1,0,Autumn17
NT70002,4,7,8,19,19,10,30,Spring16
NT70002,4,6,14,14,17,31,2,Spring19
PE40002,1,2,3,1,0,0,0,Spring19
PE60002,1,4,0,0,0,0,0,Spring19
RD30002,7,37,42,24,7,3,0,Autumn18
RD30002,3,20,38,25,10,2,0,Spring19
RD30002,11,72,66,43,10,3,0,Spring18
RE20001,0,0,0,0,0,0,0,Spring19
RE20001,3,0,2,4,1,0,0,Autumn18
RE30003,0,0,0,0,0,0,0,Spring19
RE60002,1,3,3,0,0,0,0,Spring16
RE60002,0,0,1,1,1,0,0,Spring17
RE60002,0,1,0,0,1,0,0,Spring18
RE60002,0,0,1,1,1,0,0,Autumn17
RE60018,0,2,0,0,0,0,0,Spring16
RE60018,1,1,4,1,0,0,0,Spring19
RE60018,0,2,2,2,0,0,0,Spring18
RT30018,7,10,9,5,1,0,0,Autumn18
RT30018,1,9,9,15,4,0,0,Spring19
