course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,0,2,6,4,7,3,0,0,9.09,27.27,18.18,31.82,13.64,0,Spring20,6.86
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
BT31006-BIOINFORMATICS,0,6,11,9,5,4,0,0,17.14,31.43,25.71,14.29,11.43,0,Spring20,7.29
BT31006-BIOINFORMATICS,2,18,14,3,1,0,0,5.26,47.37,36.84,7.89,2.63,0,0,Spring21,8.45
CY41018-STRUCTURES & FUNCTION OF BIOMOLECULES,0,3,6,6,3,0,0,0,16.67,33.33,33.33,16.67,0,0,Spring21,7.5
EG30002-ENERGY CONVERSION PROCESSES,1,2,2,3,1,1,0,10,20,20,30,10,10,0,Spring20,7.6
EG30002-ENERGY CONVERSION PROCESSES,4,13,16,9,3,1,0,8.7,28.26,34.78,19.57,6.52,2.17,0,Spring21,8.07
EG30002-ENERGY CONVERSION PROCESSES,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring19,7
MA51108-ADVANCED COMPLEX ANALYSIS,0,0,0,2,0,0,0,0,0,0,100,0,0,0,Spring21,7
MS31007-MATERIAL SCIENCE,4,6,3,0,6,0,0,21.05,31.58,15.79,0,31.58,0,0,Autumn19,8.11
MS31007-MATERIAL SCIENCE,7,15,2,2,0,0,0,26.92,57.69,7.69,7.69,0,0,0,Autumn20,9.04
MS31007-MATERIAL SCIENCE,9,26,21,5,1,0,0,14.52,41.94,33.87,8.06,1.61,0,0,Spring21,8.6
MS31007-MATERIAL SCIENCE,4,2,4,4,1,0,0,26.67,13.33,26.67,26.67,6.67,0,0,Spring20,8.27
MS31007-MATERIAL SCIENCE,5,6,6,5,0,1,0,21.74,26.09,26.09,21.74,0,4.35,0,Spring19,8.35
MS31007-MATERIAL SCIENCE,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn18,7
MS41004-POLYMER TECHNOLOGY,8,17,2,0,0,0,0,29.63,62.96,7.41,0,0,0,0,Spring21,9.22
PE40002-HYDROCARBON PRODUCTION ENGINEERING,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,0,1,3,0,1,0,0,0,20,60,0,20,0,0,Autumn19,7.8
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,3,10,9,1,0,0,0,13.04,43.48,39.13,4.35,0,0,0,Autumn20,8.65
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,0,2,12,10,1,0,0,0,8,48,40,4,0,0,Spring20,7.6
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,2,6,17,13,6,2,0,4.35,13.04,36.96,28.26,13.04,4.35,0,Spring19,7.54
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,0,0,3,3,0,0,0,0,0,50,50,0,0,0,Autumn18,7.5
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,1,4,1,0,0,0,0,16.67,66.67,16.67,0,0,0,0,Spring21,9
RE20001-INTRODUCTION TO RELIABILITY ENGINEERING,0,0,1,1,2,0,0,0,0,25,25,50,0,0,Autumn19,6.75
RE20001-INTRODUCTION TO RELIABILITY ENGINEERING,0,0,1,0,1,0,0,0,0,50,0,50,0,0,Autumn18,7
RE20001-INTRODUCTION TO RELIABILITY ENGINEERING,2,3,0,0,0,0,0,40,60,0,0,0,0,0,Autumn20,9.4
RT30018-RUBBER PROCESS ENGINEERING,0,7,8,12,3,0,0,0,23.33,26.67,40,10,0,0,Spring19,7.63
RT30018-RUBBER PROCESS ENGINEERING,0,13,8,1,0,0,0,0,59.09,36.36,4.55,0,0,0,Spring21,8.55
